reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
off:en:10-red-wine,,7,10% red wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:10-red-wine
off:en:11-dry-white-wine,,7,11% dry white wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:11-dry-white-wine
off:en:11-red-wine,,7,11% red wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:11-red-wine
off:en:11-rose-wine,,7,11% rosé wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:11-rose-wine
off:en:11-white-wine,,7,11% white wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:11-white-wine
off:en:12-red-wine,,7,12% red wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:12-red-wine
off:en:13-red-wine,,7,13% red wine,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:13-red-wine
off:en:2-3-fat-petit-suisse,,1,2-3% fat Petit-Suisse,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:2-3-fat-petit-suisse
off:en:2-3-fat-petit-suisse-fruits-flavoured-fortified-with-calcium-and-vitamin-d,,1,2-3% fat Petit-Suisse fruits flavoured fortified with calcium and vitamin D,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:2-3-fat-petit-suisse-fruits-flavoured-fortified-with-calcium-and-vitamin-d
off:en:2-3-fat-petit-suisse-with-fruits,,1,2-3% fat Petit-Suisse with fruits,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:2-3-fat-petit-suisse-with-fruits
off:en:2-3-fat-petit-suisse-with-fruits-fortified-with-calcium-and-vitamin-d,,1,2-3% fat Petit-Suisse with fruits fortified with calcium and vitamin D,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:2-3-fat-petit-suisse-with-fruits-fortified-with-calcium-and-vitamin-d
off:en:30-40-blended-fat-with-vegetable-and-animal-origins,,13,30-40% blended fat with vegetable and animal origins,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-blended-fat-with-vegetable-and-animal-origins
off:en:30-40-fat-lightly-salted-vegetable-fat,,13,30-40% fat lightly salted vegetable fat,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-fat-lightly-salted-vegetable-fat
off:en:30-40-fat-unsalted-vegetable-fat,,13,30-40% fat unsalted vegetable fat,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-fat-unsalted-vegetable-fat
off:en:30-40-fat-unsalted-vegetable-fat-high-in-omega-3,,13,30-40% fat unsalted vegetable fat high in omega 3,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-fat-unsalted-vegetable-fat-high-in-omega-3
off:en:30-40-fat-unsalted-vegetable-fat-with-plant-sterols-esters,,13,30-40% fat unsalted vegetable fat with plant sterols esters,,OFF taxonomy reference; category suggestion only; no product shelf-life identity,TRUE,en:30-40-fat-unsalted-vegetable-fat-with-plant-sterols-esters
